docket_id,engine_off_section_id,engine_off_start,engine_off_end,engine_off_duration_minutes
Cemex--1026222452,201.0,2024-11-22 11:12:16+00:00,2024-11-22 11:19:37+00:00,7.35
Cemex--1026222547,412.0,2024-11-22 09:42:46+00:00,2024-11-22 09:44:26+00:00,1.6666666666666667
Cemex--1026223084,239.0,2024-11-22 09:25:20+00:00,2024-11-22 09:25:20+00:00,0.0
Cemex--1026223319,64.0,2024-11-22 09:57:35+00:00,2024-11-22 09:58:35+00:00,1.0
Cemex--1026223319,65.0,2024-11-22 10:10:28+00:00,2024-11-22 10:13:48+00:00,3.3333333333333335
Cemex--1026223319,66.0,2024-11-22 10:16:19+00:00,2024-11-22 10:23:50+00:00,7.516666666666667
Cemex--1026223319,67.0,2024-11-22 10:26:01+00:00,2024-11-22 10:33:12+00:00,7.183333333333334
Cemex--1026223319,68.0,2024-11-22 10:34:32+00:00,2024-11-22 10:40:53+00:00,6.35
Cemex--1026223319,69.0,2024-11-22 10:44:14+00:00,2024-11-22 10:48:45+00:00,4.516666666666667
Cemex--1026223814,204.0,2024-11-22 09:42:15+00:00,2024-11-22 09:42:45+00:00,0.5
Cemex--1026223848,317.0,2024-11-22 10:28:39+00:00,2024-11-22 10:29:40+00:00,1.0166666666666666
Cemex--1026223848,318.0,2024-11-22 10:50:43+00:00,2024-11-22 11:11:07+00:00,20.4
Cemex--1026223969,341.0,2024-11-22 09:46:35+00:00,2024-11-22 09:49:05+00:00,2.5
Cemex--1026223976,483.0,2024-11-22 10:35:30+00:00,2024-11-22 10:35:40+00:00,0.16666666666666666
Cemex--1026224693,240.0,2024-11-22 10:06:38+00:00,2024-11-22 10:07:58+00:00,1.3333333333333333
Cemex--1026225263,305.0,2024-11-22 10:43:24+00:00,2024-11-22 10:44:04+00:00,0.6666666666666666
Cemex--1026225390,270.0,2024-11-22 10:58:42+00:00,2024-11-22 11:02:23+00:00,3.683333333333333
Cemex--1026225627,267.0,2024-11-22 10:38:27+00:00,2024-11-22 10:38:27+00:00,0.0
Cemex--1026225668,333.0,2024-11-22 10:54:33+00:00,2024-11-22 11:00:24+00:00,5.85
Cemex--1026225682,383.0,2024-11-22 12:04:13+00:00,2024-11-22 12:06:44+00:00,2.5166666666666666
Cemex--1026225682,384.0,2024-11-22 13:38:12+00:00,2024-11-22 14:38:03+00:00,59.85
Cemex--1026226054,517.0,2024-11-22 11:32:48+00:00,2024-11-22 11:36:29+00:00,3.683333333333333
Cemex--1026226073,339.0,2024-11-22 10:54:53+00:00,2024-11-22 10:55:03+00:00,0.16666666666666666
Cemex--1026226200,207.0,2024-11-22 12:21:53+00:00,2024-11-22 12:30:35+00:00,8.7
Cemex--1026226732,405.0,2024-11-22 13:48:01+00:00,2024-11-22 13:48:31+00:00,0.5
Cemex--1026227403,319.0,2024-11-22 12:15:50+00:00,2024-11-22 12:16:30+00:00,0.6666666666666666
Cemex--1026227447,484.0,2024-11-22 12:14:09+00:00,2024-11-22 12:14:29+00:00,0.3333333333333333
Cemex--1026227965,469.0,2024-11-22 13:57:12+00:00,2024-11-22 14:02:33+00:00,5.35
Cemex--1026228218,410.0,2024-11-22 12:44:00+00:00,2024-11-22 12:44:30+00:00,0.5
Cemex--1026228555,311.0,2024-11-22 14:52:31+00:00,2024-11-22 14:57:32+00:00,5.016666666666667
Cemex--1026228555,312.0,2024-11-22 14:57:52+00:00,2024-11-22 15:01:03+00:00,3.183333333333333
Cemex--1026228862,403.0,2024-11-22 13:32:29+00:00,2024-11-22 13:32:29+00:00,0.0
Cemex--1026228862,404.0,2024-11-22 14:04:55+00:00,2024-11-22 14:55:55+00:00,51.0
Cemex--1026228932,315.0,2024-11-22 14:03:35+00:00,2024-11-22 14:08:46+00:00,5.183333333333334
Cemex--1026228932,316.0,2024-11-22 14:23:09+00:00,2024-11-22 14:51:04+00:00,27.916666666666668
Cemex--1026229044,505.0,2024-11-22 12:17:38+00:00,2024-11-22 12:52:53+00:00,35.25
Cemex--1026229044,506.0,2024-11-23 08:31:23+00:00,2024-11-23 09:31:15+00:00,59.86666666666667
Cemex--1026229044,507.0,2024-11-23 11:25:51+00:00,2024-11-23 12:25:43+00:00,59.86666666666667
Cemex--1026229044,508.0,2024-11-25 06:49:50+00:00,2024-11-25 06:54:51+00:00,5.016666666666667
Cemex--1026229350,520.0,2024-11-22 13:05:30+00:00,2024-11-22 13:08:30+00:00,3.0
Cemex--1026229467,525.0,2024-11-22 13:46:18+00:00,2024-11-22 13:48:19+00:00,2.0166666666666666
Cemex--1026229567,379.0,2024-11-22 12:39:05+00:00,2024-11-22 12:40:16+00:00,1.1833333333333333
Cemex--1026229799,397.0,2024-11-22 12:48:54+00:00,2024-11-22 12:50:45+00:00,1.85
Cemex--1026229953,219.0,2024-11-22 13:23:30+00:00,2024-11-22 13:29:41+00:00,6.183333333333334
Cemex--1026229971,416.0,2024-11-22 13:30:39+00:00,2024-11-22 13:49:12+00:00,18.55
Cemex--1026229971,417.0,2024-11-22 13:54:03+00:00,2024-11-22 14:18:18+00:00,24.25
Cemex--1026229984,366.0,2024-11-22 13:55:30+00:00,2024-11-22 13:57:40+00:00,2.1666666666666665
Cemex--1026229984,367.0,2024-11-22 13:58:50+00:00,2024-11-22 14:10:52+00:00,12.033333333333333
Cemex--1026230236,448.0,2024-11-22 13:28:14+00:00,2024-11-22 13:31:14+00:00,3.0
