@timestamp,docket_id,docket_rmc,truck_registration,docket_plant_code,docket_datetime_batch_utc,volume_delivered,docket_jobsite_description,detail_docket_consistence_class,detail_docket_consistence_class_min,detail_docket_consistence_class_max,detail_docket_consistence_target,detail_docket_consistence_lower_limit_composite,detail_docket_consistence_upper_limit_composite
2025-01-20 14:22:23.000,London-Concrete--41229911,London-Concrete,WN66YBU,BWL,2025-01-20T13:19:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 14:34:19.000,London-Concrete--41230077,London-Concrete,WU64AUA,HNL,2025-01-20T14:34:16.209Z,1,"STANHOPE ROAD, HARINGEY",S1,10,40,0,0,50
2025-01-20 14:43:21.000,London-Concrete--41230077,London-Concrete,WU64AUA,HNL,2025-01-20T14:35:00.000Z,1,"STANHOPE ROAD, HARINGEY",S1,10,40,0,0,50
2025-01-20 14:43:21.000,London-Concrete--41230094,London-Concrete,RE67BVT,HNL,2025-01-20T14:42:29.046Z,7.5,ST ANN'S ROAD - N15,S4,160,210,0,150,220
2025-01-20 14:51:18.000,London-Concrete--41230041,London-Concrete,WU19HYJ,BWL,2025-01-20T14:28:00.000Z,4,"1 NORTH QUAY, ASPEN WAY",F5,,,620,570,670
2025-01-20 14:52:18.000,London-Concrete--41229911,London-Concrete,WN66YBU,BWL,2025-01-20T13:19:00.000Z,7.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 15:10:18.000,London-Concrete--41230139,London-Concrete,WX71VLA,BWL,2025-01-20T15:09:55.967Z,4.5,MONIER ROAD - E3,S3,100,150,0,90,160
2025-01-20 15:10:19.000,London-Concrete--41230094,London-Concrete,RE67BVT,HNL,2025-01-20T14:43:00.000Z,7.5,ST ANN'S ROAD - N15,S4,160,210,0,150,220
2025-01-20 15:10:21.000,London-Concrete--41230138,London-Concrete,KT15AAZ,HNL,2025-01-20T15:09:50.712Z,4,CHURCH STREET - EN2,S3,100,150,0,90,160
2025-01-20 15:14:20.000,London-Concrete--41230146,London-Concrete,RX18HLD,OCO,2025-01-20T15:13:55.273Z,5,OLD OAK COMMON LANE - NORTH ACTON,SF1,,,600,550,650
2025-01-20 15:23:19.000,London-Concrete--41230162,London-Concrete,EK19VBC,BWL,2025-01-20T15:22:25.683Z,4,CIVIC CENTRE - WALTHAM FOREST,S4,160,210,0,150,220
2025-01-20 15:23:20.000,London-Concrete--41230139,London-Concrete,WX71VLA,BWL,2025-01-20T15:20:00.000Z,4.5,MONIER ROAD - E3,S3,100,150,0,90,160
2025-01-20 15:28:20.000,London-Concrete--41230170,London-Concrete,RX68YCV,OCO,2025-01-20T15:28:10.680Z,4,OLD OAK COMMON LANE - NORTH ACTON,SF1,,,600,550,650
2025-01-20 15:30:21.000,London-Concrete--41230146,London-Concrete,RX18HLD,OCO,2025-01-20T15:13:00.000Z,5,OLD OAK COMMON LANE - NORTH ACTON,SF1,,,600,550,650
2025-01-20 15:36:19.000,London-Concrete--41230178,London-Concrete,KX16FOF,BWL,2025-01-20T15:36:13.070Z,2,TROUBADOR THEATRE - WOOD WHARF,S4,160,210,0,150,220
2025-01-20 15:37:19.000,London-Concrete--41230162,London-Concrete,EK19VBC,BWL,2025-01-20T15:32:00.000Z,4,CIVIC CENTRE - WALTHAM FOREST,S4,160,210,0,150,220
2025-01-20 15:38:18.000,London-Concrete--41230170,London-Concrete,RX68YCV,OCO,2025-01-20T15:27:00.000Z,4,OLD OAK COMMON LANE - NORTH ACTON,SF1,,,600,550,650
2025-01-20 15:44:19.000,London-Concrete--41230187,London-Concrete,EK19VBB,BWL,2025-01-20T15:43:24.656Z,3.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 15:44:20.000,London-Concrete--41230178,London-Concrete,KX16FOF,BWL,2025-01-20T15:47:00.000Z,2,TROUBADOR THEATRE - WOOD WHARF,S4,160,210,0,150,220
2025-01-20 15:50:19.000,London-Concrete--41230196,London-Concrete,WU64ATY,BWL,2025-01-20T15:50:13.088Z,5.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
2025-01-20 15:51:18.000,London-Concrete--41230187,London-Concrete,EK19VBB,BWL,2025-01-20T15:54:00.000Z,3.5,WOOD WHARF - CANARY WHARF,S4,160,210,0,150,220
2025-01-20 15:58:18.000,London-Concrete--41230202,London-Concrete,KX16FOK,BWL,2025-01-20T15:57:23.061Z,7.5,"1 NORTH QUAY, ASPEN WAY",S4,160,210,0,150,220
2025-01-20 15:58:19.000,London-Concrete--41230196,London-Concrete,WU64ATY,BWL,2025-01-20T16:00:00.000Z,5.5,WALTHAM FOREST TOWN HALL - E17,S4,160,210,0,150,220
